Year,State,stateid,statepop,"Residents in State, County, and City Mental Hospitals",Resident all Mental Institutions,All Patients (Resident and on Parole) in All Mental Institutions,Homicide Count,Prisoners,Jailpop,Executions,Real Per Cap Income,Age Percent 15 to 19,Age Percent 20 to 24,Nonwhite,r_black,r_urban
1929,MD,21,1621000,4119,4119,4167,131,2281,495.799999999988,1,,,,,,
1929,MA,22,4229000,17972,17972,19937,70,2124,1968.60000000001,3,,,,,,
1929,MI,23,4795000,8143,8143,9061,392,7103,1453,0,,,,,,
1929,MN,24,2572000,7720,7720,8948,57,2360,834.399999999994,0,,,,,,
1929,MS,25,1998000,3183,3183,3864,463,,366.199999999997,0,,,,,,
1929,MO,26,3622000,6306,6306,6707,351,3971,835.399999999994,0,,,,,,
1929,MT,27,524000,1531,1531,1531,60,668,107.6,0,,,,,,
1929,NE,28,1375000,3523,3523,3863,41,1124,263.599999999999,1,,,,,,
1929,NV,29,90000,252,252,274,18,245,60.7999999999993,0,,,,,,
1929,NH,30,467000,1677,1677,1846,7,124,145,0,,,,,,
1929,NJ,31,3989000,6253,6253,6894,180,2865,1236.39999999999,2,,,,,,
1929,NM,32,420000,560,560,673,51,489,32.5999999999999,0,,,,,,
1929,NY,33,12171000,47735,47735,52636,660,8135,6449.59999999998,4,,,,,,
1929,NC,34,3133000,5337,5337,6657,329,2232,485.600000000006,4,,,,,,
1929,ND,35,674000,1491,1491,1616,8,330,79.6000000000004,0,,,,,,
1929,OH,36,6626000,15053,15053,17115,543,8804,2027.39999999999,5,,,,,,
1929,OK,37,2372000,4356,4356,4696,247,3690,563.600000000006,0,,,,,,
1929,OR,38,947000,2924,2924,3277,33,817,277.199999999997,0,,,,,,
1929,PA,39,9723000,12698,12698,14005,500,5314,4671.20000000001,0,,,,,,
1929,RI,40,684000,1914,1914,2218,16,366,174.6,0,,,,,,
1929,SC,41,1739000,3029,3029,3377,245,686,842.199999999997,3,,,,,,
1929,SD,42,690000,1448,1448,1479,,462,100.200000000001,0,,,,,,
1929,TN,43,2604000,3629,3629,3656,434,2676,1233.79999999999,0,,,,,,
1929,TX,44,5762000,8653,8653,9749,,5056,757.799999999988,0,,,,,,
1929,UT,45,508000,863,863,863,23,278,72.4000000000001,0,,,,,,
1929,VT,46,359000,901,901,922,5,412,56.6000000000004,0,,,,,,
1929,VA,47,2425000,6246,6246,7996,244,2664,1463.59999999998,4,,,,,,
1929,WA,48,1555000,4313,4313,5021,80,1741,344.4,1,,,,,,
1929,WV,49,1717000,2731,2731,3833,176,2174,561.800000000003,4,,,,,,
1929,WI,50,2934000,1924,1924,2865,66,1933,1019.60000000001,0,,,,,,
1929,WY,51,223000,435,435,451,19,357,38,0,,,,,,
1930,AL,1,2647000,3882,3910,4572,,,990,5,,11.5416429936886,9.4095803797245,34.3928575515747,,
1930,AK,2,,,,,,,,,,,,,,
1930,AZ,3,434000,793,793,905,,539,41.8000000000002,2,,8.05106312036514,9.75264608860016,6.69015571475029,,
1930,AR,4,1859000,3073,3813,4820,,1312,240.200000000001,10,,10.5727598071098,9.80677753686905,35.4017436504364,,
1930,CA,5,5711000,15134,16461,18144,,7116,2878.20000000001,15,,8.145871758461,8.44979807734489,4.57619577646255,,
1930,CO,6,1040000,2637,2899,3206,,1331,227.1,7,,8.50191190838814,8.43243077397346,.767324073240161,,
1930,CT,7,1613000,5336,5897,6311,,1328,474,2,,8.79953652620316,9.16239842772484,3.08551769703627,,
1930,DE,8,239000,722,722,827,,332,347.699999999997,2,,7.30091333389282,7.55546912550926,16.8813705444336,,
1930,FL,10,1471000,3537,3537,3537,,1985,586.300000000003,1,,10.4742236435413,9.45478677749634,33.9178651571274,,
1930,GA,11,2910000,5320,6056,6675,,,2159.8,7,,11.4245757460594,9.16567742824554,33.825495839119,,
1930,HI,12,,,,,,,,,,,,,,
1930,ID,13,447000,723,723,749,,403,206.300000000003,0,,10.4158937931061,8.55169147253036,.328594213351607,,
